synthetic_banner,question_id,section,question_text,answer_text,evidence_status,evidence_status_display,evidence_references,qualification,fictional_owner_assertion,open_item,not_applicable_reason,claim_scope,customer_approval_state
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q013,Data protection and privacy,Is customer data encrypted in transit?,Yes. Customer-facing and service-to-service traffic carrying customer data uses encrypted transport.,supported,Supported,EVD-001|EVD-007,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q014,Data protection and privacy,Is customer data encrypted at rest?,Yes. Stored customer content and production backups are encrypted at rest within the hosted production scope.,supported,Supported,EVD-001|EVD-005|EVD-007,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q015,Data protection and privacy,Can customer data residency be restricted to a defined region?,The fictional standard production scope is hosted in one designated European region.,supported_with_qualification,Supported with qualification,EVD-006|EVD-007,A contractual residency commitment and any alternate-region requirement must be confirmed during the fit check.,,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q016,Data protection and privacy,Is customer data retention documented?,Yes. Customer content is retained for the active service period and enters a documented deletion workflow after account termination or an approved deletion request.,supported,Supported,EVD-007,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q017,Data protection and privacy,Can customer data be deleted on request?,Yes. Authorized deletion requests are mapped to the production data stores and backup-expiry process described in the data-flow record.,supported,Supported,EVD-005|EVD-007,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q018,Data protection and privacy,Does the product store or process payment-card data?,Not applicable. DocWeave AI does not store or process payment-card data within the reviewed product scope.,not_applicable,"Not applicable, with reason",,,,,Payment processing is outside the reviewed product scope and no cardholder-data flow is present.,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q019,Data protection and privacy,Is production customer data prohibited from routine use in development and test environments?,Routine development and test work uses synthetic or masked data rather than production customer content.,supported_with_qualification,Supported with qualification,EVD-007,A time-bounded support investigation may use a customer-provided sample only after explicit authorization and scoped handling instructions.,,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q020,Secure development,Do you maintain a documented secure development lifecycle?,"Yes. The development workflow includes planning, peer review, automated checks, controlled release, and post-release observation.",supported,Supported,EVD-001|EVD-003,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q021,Secure development,Are code changes peer reviewed before production release?,Yes. Production-bound changes require review by another authorized engineer before merge and release.,supported,Supported,EVD-003|EVD-009,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q022,Secure development,Are software dependencies scanned for known vulnerabilities?,Yes. Application dependency checks run in the main release workflow and findings are triaged by severity and exposure.,supported,Supported,EVD-003|EVD-009,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q023,Secure development,Do you scan source repositories for exposed secrets?,Automated secret-pattern checks run on the principal application repositories.,supported_with_qualification,Supported with qualification,EVD-003|EVD-009,The control is documented for the principal application repositories; auxiliary experimental repositories are not included in this claim.,,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q024,Secure development,Are vulnerability remediation timelines defined?,Cinderline uses severity-based remediation targets and records exceptions with an owner and review date.,supported_with_qualification,Supported with qualification,EVD-003|EVD-009,"These are internal operating targets, not customer-facing contractual service levels.",,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q025,Secure development,Has the product completed an independent penetration test within the last twelve months?,No completed independent penetration-test report is available for the current product scope.,open,Open,,,,"{""open_item_id"": ""OPEN-001"", ""title"": ""Complete independent penetration test"", ""state"": ""unresolved"", ""owner"": ""Ilya North"", ""target_date"": ""2026-09-30""}",,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q026,Secure development,Are production changes formally approved and traceable?,"Yes. Production releases are tied to an approved change record, source revision, release actor, and deployment result.",supported,Supported,EVD-003,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q027,Secure development,Are software releases delivered to customers on physical media?,Not applicable. DocWeave AI is delivered as a hosted service and has no physical-media release process.,not_applicable,"Not applicable, with reason",,,,,The reviewed product is a hosted SaaS service with no customer software distributed on physical media.,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q028,Infrastructure and operations,Is the production hosting architecture documented?,"Yes. The reviewed scope identifies the hosted application, managed data services, model runtime, monitoring, and messaging dependencies.",supported,Supported,EVD-001|EVD-006|EVD-007,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q029,Infrastructure and operations,Is operating-system and platform patching managed?,"Yes. Managed-service updates are tracked through the vendor boundary, and Cinderline-owned runtime components follow a documented patch review process.",supported,Supported,EVD-001|EVD-009,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q030,Infrastructure and operations,Are availability and security-relevant events monitored?,"Yes. Application health, service errors, administrative events, and selected security signals are monitored for the hosted production scope.",supported,Supported,EVD-001|EVD-006,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q031,Infrastructure and operations,Are production backups performed?,Yes. Production data is backed up on a scheduled basis with encryption and retention controls.,supported,Supported,EVD-005,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q032,Infrastructure and operations,Are backup restorations tested?,A sampled restoration test was completed successfully against a synthetic recovery dataset.,supported_with_qualification,Supported with qualification,EVD-005|EVD-009,The recorded check demonstrates a sampled data restoration and is not represented as a full disaster-recovery exercise.,,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q033,Infrastructure and operations,Do you operate your own physical data centres?,Not applicable. Cinderline does not operate physical data centres for the reviewed hosted product scope.,not_applicable,"Not applicable, with reason",,,,,"Physical facilities are operated by the fictional hosted-compute provider, not by Cinderline.",DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q034,Incident response,Do you maintain a documented incident-response procedure?,"Yes. The procedure defines intake, severity classification, ownership, escalation, containment, recovery, and post-incident review.",supported,Supported,EVD-001|EVD-004,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q035,Incident response,Have you had a reportable customer-data security incident in the previous twelve months?,The fictional company records no reportable customer-data security incident in the twelve months ending 2026-07-01.,owner_assertion,Owner assertion,,,"{""name"": ""Ilya North"", ""role"": ""Security & Platform Lead"", ""assertion_date"": ""2026-07-02""}",,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q036,Incident response,Does the incident process include customer-notification assessment?,"Yes. The incident lead must assess contractual, regulatory, and customer-notification requirements with the accountable executive and advisers.",supported,Supported,EVD-004,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q037,Incident response,Has the incident-response procedure been exercised in the last twelve months?,A full tabletop exercise has not yet been completed for the current procedure revision.,open,Open,,,,"{""open_item_id"": ""OPEN-002"", ""title"": ""Run incident-response tabletop exercise"", ""state"": ""unresolved"", ""owner"": ""Ilya North"", ""target_date"": ""2026-08-31""}",,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q038,Incident response,How long are security-relevant production logs retained?,Selected security-relevant logs are retained for 90 days in active search and up to 365 days in restricted archive storage.,supported_with_qualification,Supported with qualification,EVD-004,Retention varies by log source; the stated periods apply to the sources listed in the incident-response procedure.,,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q039,Business continuity,Do you maintain a business-continuity and recovery plan?,Yes. Cinderline maintains a scoped continuity plan for restoration of the hosted product and essential customer communication.,supported,Supported,EVD-001|EVD-005,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q040,Business continuity,Are recovery-time and recovery-point objectives defined?,The fictional operating targets are a 12-hour recovery-time objective and a 4-hour recovery-point objective for the principal production data service.,supported_with_qualification,Supported with qualification,EVD-005,These are internal planning targets and are not represented as contractual service commitments.,,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q041,Business continuity,Has a full continuity exercise been completed in the last twelve months?,"A sampled restoration has been completed, but a full continuity exercise covering all dependencies has not yet been completed.",open,Open,,,,"{""open_item_id"": ""OPEN-003"", ""title"": ""Complete end-to-end continuity exercise"", ""state"": ""unresolved"", ""owner"": ""Theo Vale"", ""target_date"": ""2026-10-15""}",,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q042,Business continuity,Do you maintain a permanently staffed secondary office for continuity?,Not applicable. The fictional company operates a remote-capable model and does not rely on a permanently staffed secondary office.,not_applicable,"Not applicable, with reason",,,,,Continuity is based on remote-capable work and alternate communication channels rather than a second staffed office.,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q043,Vendor and subprocessor risk,Do you maintain an inventory of critical vendors supporting the service?,"Yes. The critical vendor register identifies service purpose, owner, review tier, data role, and current review date.",supported,Supported,EVD-006,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q044,Vendor and subprocessor risk,Is vendor security due diligence performed before onboarding?,Critical and data-processing vendors receive documented due diligence before approval and are re-reviewed according to tier.,supported_with_qualification,Supported with qualification,EVD-006,The formal review applies to critical and data-processing vendors; low-risk commodity suppliers use a lighter documented check.,,,,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q045,Vendor and subprocessor risk,Is a customer-facing subprocessor list currently available?,"The underlying vendor and data-role inventory exists, but the customer-facing subprocessor publication is still being prepared.",open,Open,EVD-006,,,"{""open_item_id"": ""OPEN-004"", ""title"": ""Approve customer-facing subprocessor list"", ""state"": ""unresolved"", ""owner"": ""Mara Venn"", ""target_date"": ""2026-07-31""}",,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q046,Personnel security and training,Are background checks performed for personnel in sensitive roles where legally permitted?,Cinderline states that background screening is completed for designated sensitive roles where permitted and appropriate.,owner_assertion,Owner assertion,,,"{""name"": ""Elin Park"", ""role"": ""People Operations Lead"", ""assertion_date"": ""2026-07-02""}",,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q047,Personnel security and training,Have all personnel completed security-awareness training?,Thirty-three of thirty-five fictional personnel have completed the current annual security-awareness module.,open,Open,EVD-008,,,"{""open_item_id"": ""OPEN-005"", ""title"": ""Complete training for two recent starters"", ""state"": ""unresolved"", ""owner"": ""Elin Park"", ""target_date"": ""2026-07-18""}",,DocWeave AI hosted production scope,approved_with_exceptions
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q048,Personnel security and training,Do temporary contractors administer the reviewed production environment?,Not applicable. No temporary contractors administer the reviewed production environment in this fictional scenario.,not_applicable,"Not applicable, with reason",,,,,Production administration is limited to named fictional employees in the reviewed scope.,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q049,AI governance,Is customer content used to train a shared or general-purpose model?,No. Customer content in the reviewed scope is processed to provide the contracted workflow and is not used to train a shared or general-purpose model.,supported,Supported,EVD-001|EVD-007,,,,,DocWeave AI hosted production scope,approved
SYNTHETIC DEMONSTRATION — NOT CUSTOMER EVIDENCE,Q050,AI governance,Are AI-generated classifications subject to human review or correction?,"The product supports confidence thresholds, reviewer queues, and user correction of generated classifications.",supported_with_qualification,Supported with qualification,EVD-001,Human review is configurable by workflow and is not asserted to occur for every generated classification.,,,,DocWeave AI hosted production scope,approved_with_exceptions
